order_id,customer_id,order_date,order_status,shipping_city,shipping_state,shipping_cost,delivery_days
ORD-2024-100001,CUST-14681,2024-01-01,Delivered,Athens,GA,19.99,6
ORD-2024-100002,CUST-11842,2024-01-01,Delivered,Ann Arbor,MI,19.99,5
ORD-2024-100003,CUST-13941,2024-01-01,Delivered,Las Vegas,NV,19.99,6
ORD-2024-100004,CUST-10340,2024-01-01,Delivered,West Jordan,UT,9.99,5
ORD-2024-100005,CUST-14302,2024-01-01,Shipped,Reno,NV,14.99,3
ORD-2024-100006,CUST-11583,2024-01-01,Delivered,Paterson,NJ,14.99,3
ORD-2024-100007,CUST-12274,2024-01-01,Delivered,Columbia,SC,14.99,7
ORD-2024-100008,CUST-13729,2024-01-01,Delivered,Bowie,MD,0.0,6
ORD-2024-100009,CUST-12952,2024-01-02,Delivered,Worcester,MA,19.99,5
ORD-2024-100010,CUST-10523,2024-01-02,Delivered,Tallahassee,FL,9.99,2
ORD-2024-100011,CUST-12483,2024-01-02,Delivered,Shreveport,LA,0.0,4
ORD-2024-100012,CUST-10319,2024-01-02,Shipped,Lake Charles,LA,4.99,1
ORD-2024-100013,CUST-15157,2024-01-02,Delivered,Covington,KY,9.99,4
ORD-2024-100014,CUST-10466,2024-01-02,Delivered,Chesapeake,VA,9.99,5
ORD-2024-100015,CUST-14323,2024-01-02,Delivered,Bowling Green,KY,14.99,6
ORD-2024-100016,CUST-10267,2024-01-02,Delivered,Oklahoma City,OK,4.99,4
ORD-2024-100017,CUST-10695,2024-01-02,Shipped,Mount Pleasant,SC,4.99,3
ORD-2024-100018,CUST-12950,2024-01-02,Delivered,Hartford,CT,4.99,5
ORD-2024-100019,CUST-12017,2024-02-01,Delivered,Clarksville,TN,4.99,5
ORD-2024-100020,CUST-14195,2024-01-02,Delivered,Cambridge,MA,4.99,6
ORD-2024-100021,CUST-11583,2024-01-02,Delivered,Paterson,NJ,9.99,6
ORD-2024-100022,CUST-13740,2024-01-02,Returned,Indianapolis,IN,0.0,4
ORD-2024-100023,CUST-10698,2024-01-02,Delivered,Carmel,IN,4.99,3
ORD-2024-100024,CUST-12684,2024-01-03,Delivered,Toledo,OH,4.99,6
ORD-2024-100025,CUST-13362,2024-01-03,Delivered,Greensboro,NC,9.99,6
ORD-2024-100026,CUST-13556,2024-01-03,Cancelled,Reno,NV,19.99,0
ORD-2024-100027,CUST-13820,2024-01-03,Delivered,Sterling Heights,MI,4.99,6
ORD-2024-100028,CUST-14087,2024-01-03,Delivered,Sacramento,CA,0.0,7
ORD-2024-100029,CUST-15230,2024-01-03,Processing,South Bend,IN,19.99,0
ORD-2024-100030,CUST-12777,2024-01-03,Delivered,Yonkers,NY,4.99,3
ORD-2024-100031,CUST-14699,2024-01-03,Delivered,Stamford,CT,9.99,4
ORD-2024-100032,CUST-13740,2024-01-03,Delivered,Indianapolis,IN,0.0,2
ORD-2024-100033,CUST-12220,2024-01-03,Processing,New Haven,CT,19.99,0
ORD-2024-100034,CUST-15301,2024-01-03,Delivered,Salt Lake City,UT,0.0,6
ORD-2024-100035,CUST-11674,2024-01-03,Delivered,St. Petersburg,FL,4.99,4
ORD-2024-100036,CUST-15126,2024-01-03,Delivered,Oklahoma City,OK,14.99,4
ORD-2024-100037,CUST-14704,2024-01-03,Delivered,Springfield,MO,14.99,5
ORD-2024-100038,CUST-14937,2024-01-03,Delivered,Sterling Heights,MI,4.99,4
ORD-2024-100039,CUST-14712,2024-01-03,Delivered,Columbus,GA,0.0,5
ORD-2024-100040,CUST-13253,2024-01-03,Delivered,Lafayette,LA,9.99,4
ORD-2024-100041,CUST-13242,2024-01-03,Shipped,Albany,NY,4.99,3
ORD-2024-100042,CUST-14309,2024-01-04,Delivered,Huntsville,AL,14.99,5
ORD-2024-100043,CUST-13835,2024-01-04,Delivered,Athens,GA,0.0,4
ORD-2024-100044,CUST-11562,2024-01-04,Delivered,Shreveport,LA,4.99,2
ORD-2024-100045,CUST-13940,2024-01-04,Delivered,Fort Wayne,IN,4.99,4
ORD-2024-100046,CUST-13710,2024-01-04,Delivered,Richmond,VA,19.99,6
ORD-2024-100047,CUST-15241,2024-01-04,Delivered,Mobile,AL,9.99,7
ORD-2024-100048,CUST-12252,2024-01-04,Delivered,San Diego,CA,9.99,2
ORD-2024-100049,CUST-14240,2024-01-04,Delivered,Fort Worth,TX,19.99,6
ORD-2024-100050,CUST-12578,2024-01-04,Delivered,Newport News,VA,14.99,5
ORD-2024-100051,CUST-13725,2024-01-04,Delivered,Atlanta,GA,0.0,2
ORD-2024-100052,CUST-10378,2024-01-04,Shipped,Lakewood,CO,9.99,1
ORD-2024-100053,CUST-10807,2024-01-05,Delivered,Carmel,IN,4.99,3
ORD-2024-100054,CUST-14900,2024-01-05,Delivered,Las Vegas,NV,14.99,4
ORD-2024-100055,CUST-13871,2024-01-05,Delivered,Cleveland,OH,19.99,5
ORD-2024-100056,CUST-10665,2024-01-05,Delivered,Spokane,WA,0.0,7
ORD-2024-100057,CUST-11016,2024-01-05,Delivered,Hartford,CT,14.99,4
ORD-2024-100058,CUST-10605,2024-01-05,Delivered,Lakewood,CO,14.99,5
ORD-2024-100059,CUST-15219,2024-01-05,Delivered,Bowling Green,KY,14.99,4
