order_item_id,order_id,product_id,quantity,unit_price,unit_cost,discount_rate,gross_revenue,discount_amount,net_revenue,total_cost,profit
ITEM-500001,ORD-2024-100001,PROD-1331,1,93.22,25.3,0.1,93.22,9.32,83.9,25.3,58.6
ITEM-500002,ORD-2024-100002,PROD-1292,1,265.88,85.5,0.0,265.88,0.0,265.88,85.5,180.38
ITEM-500003,ORD-2024-100002,PROD-1181,1,85.0,24.0,0.0,85.0,0.0,85.0,24.0,61.0
ITEM-500004,ORD-2024-100002,PROD-1461,1,29.0,9.0,0.2,29.0,5.8,23.2,9.0,14.2
ITEM-500005,ORD-2024-100003,PROD-1007,1,799.0,350.0,0.0,799.0,0.0,799.0,350.0,449.0
ITEM-500006,ORD-2024-100004,PROD-1100,4,164.68,58.5,0.15,658.72,98.81,559.91,234.0,325.91
ITEM-500007,ORD-2024-100004,PROD-1172,1,59.8,16.2,0.25,59.8,14.95,44.85,16.2,28.65
ITEM-500008,ORD-2024-100005,PROD-1395,1,116.82,39.1,0.0,116.82,0.0,116.82,39.1,77.72
ITEM-500009,ORD-2024-100006,PROD-1137,1,45.0,14.0,0.25,45.0,11.25,33.75,14.0,19.75
ITEM-500010,ORD-2024-100006,PROD-1078,2,149.0,45.0,0.2,298.0,59.6,238.4,90.0,148.4
ITEM-500011,ORD-2024-100007,PROD-1163,2,56.64,16.1,0.3,113.28,33.98,79.3,32.2,47.1
ITEM-500012,ORD-2024-100008,PROD-1385,1,39.0,12.0,0.0,39.0,0.0,39.0,12.0,27.0
ITEM-500013,ORD-2024-100009,PROD-1505,1,35.0,10.0,0.0,35.0,0.0,35.0,10.0,25.0
ITEM-500014,ORD-2024-100010,PROD-1423,1,32.0,8.0,0.1,32.0,3.2,28.8,8.0,20.8
ITEM-500015,ORD-2024-100010,PROD-1543,4,469.0,160.0,0.1,1876.0,187.6,1688.4,640.0,1048.4
ITEM-500016,ORD-2024-100010,PROD-1434,5,33.28,8.75,0.05,166.4,8.32,158.08,43.75,114.33
ITEM-500017,ORD-2024-100011,PROD-1173,5,65.0,18.0,0.25,325.0,81.25,243.75,90.0,153.75
ITEM-500018,ORD-2024-100011,PROD-1165,1,48.0,14.0,0.0,48.0,0.0,48.0,14.0,34.0
ITEM-500019,ORD-2024-100012,PROD-1048,1,2238.6,1131.0,0.0,2238.6,0.0,2238.6,1131.0,1107.6
ITEM-500020,ORD-2024-100013,PROD-1307,1,105.02,28.75,0.1,105.02,10.5,94.52,28.75,65.77
ITEM-500021,ORD-2024-100013,PROD-1192,1,208.6,65.25,0.0,208.6,0.0,208.6,65.25,143.35
ITEM-500022,ORD-2024-100013,PROD-1310,1,89.0,25.0,0.0,89.0,0.0,89.0,25.0,64.0
ITEM-500023,ORD-2024-100014,PROD-1088,2,110.6,40.6,0.05,221.2,11.06,210.14,81.2,128.94
ITEM-500024,ORD-2024-100014,PROD-1102,1,179.0,65.0,0.0,179.0,0.0,179.0,65.0,114.0
ITEM-500025,ORD-2024-100014,PROD-1013,2,1199.0,520.0,0.05,2398.0,119.9,2278.1,1040.0,1238.1
ITEM-500026,ORD-2024-100015,PROD-1368,1,600.6,217.5,0.15,600.6,90.09,510.51,217.5,293.01
ITEM-500027,ORD-2024-100015,PROD-1272,1,95.2,23.2,0.0,95.2,0.0,95.2,23.2,72.0
ITEM-500028,ORD-2024-100015,PROD-1224,1,180.6,55.1,0.0,180.6,0.0,180.6,55.1,125.5
ITEM-500029,ORD-2024-100015,PROD-1141,2,45.0,14.0,0.15,90.0,13.5,76.5,28.0,48.5
ITEM-500030,ORD-2024-100015,PROD-1083,1,93.22,32.2,0.0,93.22,0.0,93.22,32.2,61.02
ITEM-500031,ORD-2024-100016,PROD-1522,1,53.76,15.0,0.0,53.76,0.0,53.76,15.0,38.76
ITEM-500032,ORD-2024-100017,PROD-1521,1,42.0,12.0,0.0,42.0,0.0,42.0,12.0,30.0
ITEM-500033,ORD-2024-100018,PROD-1265,3,68.0,16.0,0.2,204.0,40.8,163.2,48.0,115.2
ITEM-500034,ORD-2024-100018,PROD-1076,1,137.08,40.5,0.0,137.08,0.0,137.08,40.5,96.58
ITEM-500035,ORD-2024-100019,PROD-1226,1,153.6,40.0,0.0,153.6,0.0,153.6,40.0,113.6
ITEM-500036,ORD-2024-100020,PROD-1415,2,75.0,24.0,0.0,150.0,0.0,150.0,48.0,102.0
ITEM-500037,ORD-2024-100020,PROD-1397,1,99.0,34.0,,99.0,4.95,94.05,34.0,60.05
ITEM-500038,ORD-2024-100020,PROD-1197,1,89.0,22.0,0.0,89.0,0.0,89.0,22.0,67.0
ITEM-500039,ORD-2024-100020,PROD-1149,1,49.0,16.0,0.0,49.0,0.0,49.0,16.0,33.0
ITEM-500040,ORD-2024-100020,PROD-1088,1,110.6,40.6,0.05,110.6,5.53,105.07,40.6,64.47
ITEM-500041,ORD-2024-100021,PROD-1514,1,382.72,137.5,0.1,382.72,38.27,344.45,137.5,206.95
ITEM-500042,ORD-2024-100022,PROD-1373,1,99.0,32.0,0.0,99.0,0.0,99.0,32.0,67.0
ITEM-500043,ORD-2024-100023,PROD-1080,1,208.6,65.25,0.2,208.6,41.72,166.88,65.25,101.63
ITEM-500044,ORD-2024-100024,PROD-1042,3,2046.72,975.0,0.0,6140.16,0.0,6140.16,2925.0,3215.16
ITEM-500045,ORD-2024-100025,PROD-1076,1,137.08,40.5,0.0,137.08,0.0,137.08,40.5,96.58
ITEM-500046,ORD-2024-100026,PROD-1019,1,234.82,109.25,0.05,234.82,11.74,223.08,109.25,113.83
ITEM-500047,ORD-2024-100027,PROD-1152,2,68.6,23.2,,137.2,0.0,137.2,46.4,90.8
ITEM-500048,ORD-2024-100028,PROD-1364,1,394.68,135.0,0.2,394.68,78.94,315.74,135.0,180.74
ITEM-500049,ORD-2024-100029,PROD-1021,2,199.0,95.0,0.0,398.0,0.0,398.0,190.0,208.0
ITEM-500050,ORD-2024-100030,PROD-1134,2,29.0,9.0,0.25,58.0,14.5,43.5,18.0,25.5
ITEM-500051,ORD-2024-100031,PROD-1524,2,38.64,10.8,0.0,77.28,0.0,77.28,21.6,55.68
ITEM-500052,ORD-2024-100032,PROD-1322,1,510.72,175.0,0.0,510.72,0.0,510.72,175.0,335.72
ITEM-500053,ORD-2024-100032,PROD-1441,3,22.0,6.0,0.1,66.0,6.6,59.4,18.0,41.4
ITEM-500054,ORD-2024-100032,PROD-1483,1,93.22,25.3,0.05,93.22,4.66,88.56,25.3,63.26
ITEM-500055,ORD-2024-100032,PROD-1154,5,126.72,47.5,0.05,633.6,31.68,601.92,237.5,364.42
ITEM-500056,ORD-2024-100033,PROD-1458,3,37.12,11.25,0.0,111.36,0.0,111.36,33.75,77.61
ITEM-500057,ORD-2024-100033,PROD-1016,1,1678.6,754.0,0.0,1678.6,0.0,1678.6,754.0,924.6
