payment_id,order_id,payment_date,payment_method,payment_status,amount
PAY-700001,ORD-2024-100001,2024-01-01,Credit Card,Success,103.89
PAY-700002,ORD-2024-100002,2024-01-01,Credit Card,Success,394.07
PAY-700003,ORD-2024-100003,2024-01-02,Credit Card,Success,818.99
PAY-700004,ORD-2024-100004,2024-01-02,BNPL,Success,614.75
PAY-700005,ORD-2024-100005,2024-01-01,Credit Card,Success,131.81
PAY-700006,ORD-2024-100006,2024-01-01,Credit Card,Success,287.14
PAY-700007,ORD-2024-100007,2024-01-01,Credit Card,Success,94.29
PAY-700008,ORD-2024-100008,2024-01-01,Apple Pay,Success,39.0
PAY-700009,ORD-2024-100009,2024-01-02,PayPal,Success,54.99
PAY-700010,ORD-2024-100010,2024-01-02,Apple Pay,Success,1885.27
PAY-700011,ORD-2024-100011,2024-01-02,Debit Card,Success,291.75
PAY-700012,ORD-2024-100012,2024-01-02,PayPal,Success,2243.59
PAY-700013,ORD-2024-100013,2024-01-02,Apple Pay,Success,402.11
PAY-700014,ORD-2024-100014,2024-01-03,PayPal,Success,2677.23
PAY-700015,ORD-2024-100015,2024-01-02,Credit Card,Success,971.02
PAY-700016,ORD-2024-100016,2024-01-02,Credit Card,Success,58.75
PAY-700017,ORD-2024-100017,2024-01-03,Credit Card,Success,46.99
PAY-700018,ORD-2024-100018,2024-01-02,Credit Card,Success,305.27
PAY-700019,ORD-2024-100019,2024-01-03,Credit Card,Success,158.59
PAY-700020,ORD-2024-100020,2024-01-02,PayPal,Success,492.11
PAY-700021,ORD-2024-100021,2024-01-02,Credit Card,Success,354.44
PAY-700022,ORD-2024-100022,2024-01-02,Credit Card,Refunded,99.0
PAY-700023,ORD-2024-100023,2024-01-02,Debit Card,Success,171.87
PAY-700024,ORD-2024-100024,2024-01-03,BNPL,Success,6145.15
PAY-700025,ORD-2024-100025,2024-01-03,PayPal,Success,147.07
PAY-700026,ORD-2024-100026,2024-01-03,Credit Card,Refunded,243.07
PAY-700027,ORD-2024-100027,2024-01-03,Credit Card,Success,142.19
PAY-700028,ORD-2024-100028,2024-01-03,Debit Card,Success,315.74
PAY-700029,ORD-2024-100029,2024-01-03,Credit Card,Success,417.99
